Date,USDINR
2004-09,45.95
2004-10,45.3875
2004-11,44.635
2004-12,43.46
2005-01,43.72
2005-02,43.675
2005-03,43.745
2005-04,43.535
2005-05,43.7
2005-06,43.485
2005-07,43.48
2005-08,44.15
2005-09,44.015
2005-10,45.1637
2005-11,45.9288
2005-12,45.05
2006-01,44.1175
2006-02,44.39
2006-03,44.6225
2006-04,44.88
2006-05,46.37
2006-06,46.04
2006-07,46.5
2006-08,46.44
2006-09,45.8675
2006-10,45.0325
2006-11,44.747
2006-12,44.27
2007-01,44.1825
2007-02,44.2938
2007-03,43.475
2007-04,41.1775
2007-05,40.6115
2007-06,40.7225
2007-07,40.3675
2007-08,40.93
2007-09,39.845
2007-10,39.3256
2007-11,39.5987
2007-12,39.4125
2008-01,39.3685
2008-02,40.0141
2008-03,40.1175
2008-04,40.495
2008-05,42.4575
2008-06,43.04
2008-07,42.57
2008-08,43.9375
2008-09,46.955
2008-10,49.4575
2008-11,50.1075
2008-12,48.8025
2009-01,48.875
2009-02,51.1612
2009-03,50.73
2009-04,50.0925
2009-05,47.0913
2009-06,47.905
2009-07,47.935
2009-08,48.825
2009-09,48.11
2009-10,46.975
2009-11,46.515
2009-12,46.525
2010-01,46.1782
2010-02,46.085
2010-03,44.9175
2010-04,44.365
2010-05,46.3675
2010-06,46.45
2010-07,46.4075
2010-08,47.075
2010-09,44.945
2010-10,44.4275
2010-11,45.885
2010-12,44.705
2011-01,45.905
2011-02,45.2708
2011-03,44.585
2011-04,44.2194
2011-05,45.06
2011-06,44.6981
2011-07,44.1881
2011-08,46.095
2011-09,48.9637
2011-10,48.695
2011-11,52.2112
2011-12,53.065
2012-01,49.455
2012-02,49.0238
2012-03,50.875
2012-04,52.7363
2012-05,56.11
2012-06,55.6375
2012-07,55.655
2012-08,55.5263
2012-09,52.86
2012-10,53.8138
2012-11,54.265
2012-12,54.985
2013-01,53.2237
2013-02,54.36
2013-03,54.28
2013-04,53.805
2013-05,56.505
2013-06,59.39
2013-07,60.36
2013-08,65.705
2013-09,62.6175
2013-10,61.495
2013-11,62.4487
2013-12,61.8
2014-01,62.6575
2014-02,61.7575
2014-03,59.89
2014-04,60.335
2014-05,59.1025
2014-06,60.1862
2014-07,60.56
2014-08,60.515
2014-09,61.7575
2014-10,61.3675
2014-11,62.0337
2014-12,63.0425
2015-01,61.8725
2015-02,61.845
2015-03,62.4975
2015-04,63.4225
2015-05,63.825
2015-06,63.6513
2015-07,64.1362
2015-08,66.4825
2015-09,65.59
2015-10,65.265
2015-11,66.6675
2015-12,66.1537
2016-01,67.7925
2016-02,68.42
2016-03,66.2475
2016-04,66.33
2016-05,67.26
2016-06,67.525
2016-07,66.995
2016-08,66.9637
2016-09,66.615
2016-10,66.7787
2016-11,68.3887
2016-12,67.925
2017-01,67.865
2017-02,66.69
2017-03,64.85
2017-04,64.245
2017-05,64.5112
2017-06,64.5788
2017-07,64.1875
2017-08,63.9063
2017-09,65.2762
2017-10,64.7462
2017-11,64.4588
2017-12,63.8713
2018-01,63.5863
2018-02,65.1775
2018-03,65.1775
2018-04,66.6613
2018-05,67.3963
2018-06,68.47
2018-07,68.5475
2018-08,70.9962
2018-09,72.49
2018-10,73.955
2018-11,69.5837
2018-12,69.7712
2019-01,71.085
2019-02,70.745
2019-03,69.1488
2019-04,69.5563
2019-05,69.6975
2019-06,69.0275
2019-07,68.8
2019-08,71.405
2019-09,70.8675
2019-10,70.9275
2019-11,71.7375
2019-12,71.3788
2020-01,71.3525
2020-02,72.1763
2020-03,75.5425
2020-04,75.1
2020-05,75.6175
2020-06,75.5087
2020-07,74.8125
2020-08,73.62
2020-09,73.7637
2020-10,74.11
2020-11,74.04
2020-12,73.065
2021-01,72.9538
2021-02,73.465
2021-03,73.1125
2021-04,74.0875
2021-05,72.615
2021-06,74.3313
2021-07,74.4175
2021-08,73.0063
2021-09,74.2388
2021-10,74.8775
2021-11,75.1687
2021-12,74.3375
2022-01,74.6225
2022-02,75.3425
2022-03,75.7862
2022-04,76.4325
2022-05,77.6375
2022-06,78.9725
2022-07,79.2688
2022-08,79.46
2022-09,81.3488
2022-10,82.785
2022-11,81.4287
2022-12,82.735
2023-01,81.9238
2023-02,82.67
2023-03,82.1825
2023-04,81.8325
2023-05,82.7275
2023-06,82.04
2023-07,82.2538
2023-08,82.785
2023-09,83.04
2023-10,83.255
2023-11,83.395
2023-12,83.21
2024-01,83.0412
2024-02,82.9138
2024-03,83.4037
2024-04,83.4362
2024-05,83.465
2024-06,83.3913
2024-07,83.7275
2024-08,83.8712
2024-09,83.8013
2024-10,84.0837
2024-11,84.4925
2024-12,85.6087
2025-01,86.6162
2025-02,87.5125
2025-03,85.4625
2025-04,84.495
2025-05,85.5813
2025-06,85.7525
2025-07,87.6
2025-08,88.2063
2025-09,88.7888
2025-10,88.7725
2025-11,89.4563
2025-12,89.8763
2026-01,91.99
2026-02,90.9775
2026-03,94.8325
2026-04,94.92
2026-05,95.0038
